resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,status_supercategory
1,1061,830,9,33,2,1.0,1,1,3,17,25:38.426,1538426.0,14.0,1:30.013,1,Término Competitivo
2,1061,1,131,44,1,2.0,2,2,2,17,+1.430,1539856.0,17.0,1:29.937,1,Término Competitivo
3,1061,822,131,77,3,3.0,3,3,1,17,+7.502,1545928.0,17.0,1:29.958,1,Término Competitivo
4,1061,844,6,16,4,4.0,4,4,0,17,+11.278,1549704.0,16.0,1:30.163,1,Término Competitivo
5,1061,846,1,4,6,5.0,5,5,0,17,+24.111,1562537.0,16.0,1:30.566,1,Término Competitivo
6,1061,817,1,3,7,6.0,6,6,0,17,+30.959,1569385.0,17.0,1:30.640,1,Término Competitivo
7,1061,4,214,14,11,7.0,7,7,0,17,+43.527,1581953.0,17.0,1:31.773,1,Término Competitivo
8,1061,20,117,5,10,8.0,8,8,0,17,+44.439,1582865.0,17.0,1:31.687,1,Término Competitivo
9,1061,847,3,63,8,9.0,9,9,0,17,+46.652,1585078.0,17.0,1:32.208,1,Término Competitivo
10,1061,839,214,31,13,10.0,10,10,0,17,+47.395,1585821.0,16.0,1:32.183,1,Término Competitivo
11,1061,832,6,55,9,11.0,11,11,0,17,+47.798,1586224.0,10.0,1:31.991,1,Término Competitivo
12,1061,842,213,10,12,12.0,12,12,0,17,+48.763,1587189.0,17.0,1:32.072,1,Término Competitivo
13,1061,8,51,7,17,13.0,13,13,0,17,+50.677,1589103.0,12.0,1:32.139,1,Término Competitivo
14,1061,840,117,18,15,14.0,14,14,0,17,+52.179,1590605.0,12.0,1:32.210,1,Término Competitivo
15,1061,841,51,99,14,15.0,15,15,0,17,+53.225,1591651.0,14.0,1:32.457,1,Término Competitivo
16,1061,852,213,22,16,16.0,16,16,0,17,+53.567,1591993.0,14.0,1:32.270,1,Término Competitivo
17,1061,849,3,6,18,17.0,17,17,0,17,+55.162,1593588.0,17.0,1:32.143,1,Término Competitivo
18,1061,854,210,47,19,18.0,18,18,0,17,+1:08.213,1606639.0,15.0,1:32.567,1,Término Competitivo
19,1061,853,210,9,20,19.0,19,19,0,17,+1:17.648,1616074.0,3.0,1:33.462,1,Término Competitivo
20,1061,815,9,11,5,,R,20,0,16,,,6.0,1:31.465,76,Falha Mecânica
21,1065,822,131,77,1,1.0,1,1,3,18,27:54.078,1674078.0,9.0,1:23.540,1,Término Competitivo
22,1065,830,9,33,3,2.0,2,2,2,18,+2.325,1676403.0,9.0,1:23.502,1,Término Competitivo
23,1065,817,1,3,5,3.0,3,3,1,18,+14.534,1688612.0,17.0,1:24.291,1,Término Competitivo
24,1065,846,1,4,4,4.0,4,4,0,18,+18.835,1692913.0,9.0,1:24.554,1,Término Competitivo
25,1065,1,131,44,2,5.0,5,5,0,18,+20.011,1694089.0,9.0,1:24.253,1,Término Competitivo
26,1065,844,6,16,8,6.0,6,6,0,18,+23.442,1697520.0,18.0,1:24.677,1,Término Competitivo
27,1065,832,6,55,7,7.0,7,7,0,18,+27.952,1702030.0,8.0,1:24.918,1,Término Competitivo
28,1065,841,51,99,10,8.0,8,8,0,18,+31.089,1705167.0,10.0,1:25.126,1,Término Competitivo
29,1065,815,9,11,9,9.0,9,9,0,18,+31.680,1705758.0,12.0,1:24.211,1,Término Competitivo
30,1065,840,117,18,12,10.0,10,10,0,18,+38.671,1712749.0,8.0,1:25.349,1,Término Competitivo
31,1065,4,214,14,13,11.0,11,11,0,18,+39.795,1713873.0,8.0,1:25.225,1,Término Competitivo
32,1065,20,117,5,11,12.0,12,12,0,18,+41.177,1715255.0,8.0,1:25.493,1,Término Competitivo
33,1065,839,214,31,14,13.0,13,13,0,18,+43.373,1717451.0,8.0,1:25.613,1,Término Competitivo
34,1065,849,3,6,16,14.0,14,14,0,18,+45.977,1720055.0,9.0,1:25.711,1,Término Competitivo
35,1065,847,3,63,15,15.0,15,15,0,18,+46.821,1720899.0,15.0,1:25.835,1,Término Competitivo
36,1065,852,213,22,17,16.0,16,16,0,18,+49.977,1724055.0,18.0,1:25.847,1,Término Competitivo
37,1065,853,210,9,20,17.0,17,17,0,18,+1:02.599,1736677.0,7.0,1:26.613,1,Término Competitivo
38,1065,9,51,88,19,18.0,18,18,0,18,+1:05.096,1739174.0,12.0,1:26.772,1,Término Competitivo
39,1065,854,210,47,18,19.0,19,19,0,18,+1:06.154,1740232.0,7.0,1:26.819,1,Término Competitivo
40,1065,842,213,10,6,,R,20,0,0,,,,,3,Incidente de Piloto
41,1071,822,131,77,2,1.0,1,1,3,24,29:09.559,1749559.0,8.0,1:12.300,1,Término Competitivo
42,1071,830,9,33,1,2.0,2,2,2,24,+1.170,1750729.0,9.0,1:12.114,1,Término Competitivo
43,1071,832,6,55,5,3.0,3,3,1,24,+18.723,1768282.0,13.0,1:13.167,1,Término Competitivo
44,1071,815,9,11,3,4.0,4,4,0,24,+19.787,1769346.0,13.0,1:13.110,1,Término Competitivo
45,1071,1,131,44,20,5.0,5,5,0,24,+20.872,1770431.0,5.0,1:12.357,1,Término Competitivo
46,1071,846,1,4,7,6.0,6,6,0,24,+22.558,1772117.0,8.0,1:12.994,1,Término Competitivo
47,1071,844,6,16,6,7.0,7,7,0,24,+25.056,1774615.0,4.0,1:13.140,1,Término Competitivo
48,1071,842,213,10,4,8.0,8,8,0,24,+34.158,1783717.0,4.0,1:13.342,1,Término Competitivo
49,1071,839,214,31,10,9.0,9,9,0,24,+34.632,1784191.0,11.0,1:13.615,1,Término Competitivo
50,1071,20,117,5,11,10.0,10,10,0,24,+34.867,1784426.0,5.0,1:13.558,1,Término Competitivo
51,1071,817,1,3,8,11.0,11,11,0,24,+35.869,1785428.0,9.0,1:13.463,1,Término Competitivo
52,1071,4,214,14,9,12.0,12,12,0,24,+36.578,1786137.0,4.0,1:13.397,1,Término Competitivo
53,1071,841,51,99,14,13.0,13,13,0,24,+41.880,1791439.0,11.0,1:13.627,1,Término Competitivo
54,1071,840,117,18,15,14.0,14,14,0,24,+44.037,1793596.0,9.0,1:13.666,1,Término Competitivo
55,1071,852,213,22,12,15.0,15,15,0,24,+46.150,1795709.0,11.0,1:13.747,1,Término Competitivo
56,1071,849,3,6,16,16.0,16,16,0,24,+46.760,1796319.0,7.0,1:13.934,1,Término Competitivo
57,1071,847,3,63,17,17.0,17,17,0,24,+47.739,1797298.0,14.0,1:14.056,1,Término Competitivo
58,1071,8,51,7,13,18.0,18,18,0,24,+50.014,1799573.0,9.0,1:13.900,1,Término Competitivo
59,1071,854,210,47,18,19.0,19,19,0,24,+1:01.680,1811239.0,9.0,1:14.387,1,Término Competitivo
60,1071,853,210,9,19,20.0,20,20,0,24,+1:07.474,1817033.0,6.0,1:14.583,1,Término Competitivo
61,1077,830,9,1,1,1.0,1,1,8,21,30:39.567,1839567.0,14.0,1:19.154,1,Término Competitivo
62,1077,844,6,16,2,2.0,2,2,7,21,+2.975,1842542.0,11.0,1:19.044,1,Término Competitivo
63,1077,815,9,11,7,3.0,3,3,6,21,+4.721,1844288.0,14.0,1:19.012,1,Término Competitivo
64,1077,832,6,55,10,4.0,4,4,5,21,+17.578,1857145.0,14.0,1:19.251,1,Término Competitivo
65,1077,846,1,4,3,5.0,5,5,4,21,+24.561,1864128.0,9.0,1:20.030,1,Término Competitivo
66,1077,817,1,3,6,6.0,6,6,3,21,+27.740,1867307.0,12.0,1:20.328,1,Término Competitivo
67,1077,822,51,77,8,7.0,7,7,2,21,+28.133,1867700.0,9.0,1:20.219,1,Término Competitivo
68,1077,825,210,20,4,8.0,8,8,1,21,+30.712,1870279.0,6.0,1:20.557,1,Término Competitivo
69,1077,4,214,14,5,9.0,9,9,0,21,+32.278,1871845.0,10.0,1:20.639,1,Término Competitivo
70,1077,854,210,47,12,10.0,10,10,0,21,+33.773,1873340.0,15.0,1:20.567,1,Término Competitivo
71,1077,847,131,63,11,11.0,11,11,0,21,+36.284,1875851.0,19.0,1:20.756,1,Término Competitivo
72,1077,852,213,22,16,12.0,12,12,0,21,+38.298,1877865.0,20.0,1:20.909,1,Término Competitivo
73,1077,20,117,5,9,13.0,13,13,0,21,+40.177,1879744.0,8.0,1:21.044,1,Término Competitivo
74,1077,1,131,44,13,14.0,14,14,0,21,+41.459,1881026.0,9.0,1:20.663,1,Término Competitivo
75,1077,840,117,18,15,15.0,15,15,0,21,+42.910,1882477.0,14.0,1:20.948,1,Término Competitivo
76,1077,839,214,31,19,16.0,16,16,0,21,+43.517,1883084.0,14.0,1:20.995,1,Término Competitivo
77,1077,842,213,10,17,17.0,17,17,0,21,+43.794,1883361.0,18.0,1:20.599,1,Término Competitivo
78,1077,848,3,23,20,18.0,18,18,0,21,+48.871,1888438.0,14.0,1:21.020,1,Término Competitivo
79,1077,849,3,6,18,19.0,19,19,0,21,+52.017,1891584.0,16.0,1:21.437,1,Término Competitivo
80,1077,855,51,24,0,,R,20,0,0,,,,,31,Procedimento/Regulamentação
81,1084,830,9,1,1,1.0,1,1,8,23,26:30.059,1590059.0,5.0,1:08.455,1,Término Competitivo
82,1084,844,6,16,2,2.0,2,2,7,23,+1.675,1591734.0,4.0,1:08.321,1,Término Competitivo
83,1084,832,6,55,3,3.0,3,3,6,23,+5.644,1595703.0,4.0,1:08.409,1,Término Competitivo
84,1084,847,131,63,4,4.0,4,4,5,23,+13.429,1603488.0,4.0,1:08.979,1,Término Competitivo
85,1084,815,9,11,13,5.0,5,5,4,23,+18.302,1608361.0,14.0,1:09.137,1,Término Competitivo
86,1084,839,214,31,5,6.0,6,6,3,23,+31.032,1621091.0,4.0,1:09.384,1,Término Competitivo
87,1084,825,210,20,6,7.0,7,7,2,23,+34.539,1624598.0,4.0,1:09.232,1,Término Competitivo
88,1084,1,131,44,9,8.0,8,8,1,23,+35.447,1625506.0,7.0,1:09.516,1,Término Competitivo
89,1084,854,210,47,7,9.0,9,9,0,23,+37.163,1627222.0,4.0,1:09.457,1,Término Competitivo
90,1084,822,51,77,12,10.0,10,10,0,23,+37.557,1627616.0,4.0,1:09.674,1,Término Competitivo
91,1084,846,1,4,15,11.0,11,11,0,23,+38.580,1628639.0,8.0,1:09.909,1,Término Competitivo
92,1084,817,1,3,16,12.0,12,12,0,23,+39.738,1629797.0,8.0,1:09.996,1,Término Competitivo
93,1084,840,117,18,17,13.0,13,13,0,23,+48.241,1638300.0,4.0,1:10.295,1,Término Competitivo
94,1084,855,51,24,18,14.0,14,14,0,23,+50.753,1640812.0,11.0,1:10.165,1,Término Competitivo
95,1084,842,213,10,10,15.0,15,15,0,23,+52.125,1642184.0,4.0,1:10.409,1,Término Competitivo
96,1084,848,3,23,11,16.0,16,16,0,23,+52.412,1642471.0,5.0,1:10.367,1,Término Competitivo
97,1084,852,213,22,14,17.0,17,17,0,23,+54.556,1644615.0,4.0,1:10.267,1,Término Competitivo
98,1084,849,3,6,19,18.0,18,18,0,23,+1:08.694,1658753.0,4.0,1:10.284,1,Término Competitivo
99,1084,20,117,5,20,19.0,19,19,0,21,,,4.0,1:10.317,130,Incidente de Piloto
100,1084,4,214,14,8,,N,20,0,0,,,,,10,Falha Mecânica
101,1095,847,131,63,3,1.0,1,1,8,24,30:11.307,1811307.0,4.0,1:14.233,1,Término Competitivo
102,1095,832,6,55,5,2.0,2,2,7,24,+3.995,1815302.0,2.0,1:14.522,1,Término Competitivo
103,1095,1,131,44,8,3.0,3,3,6,24,+4.492,1815799.0,3.0,1:14.317,1,Término Competitivo
104,1095,830,9,1,2,4.0,4,4,5,24,+10.494,1821801.0,5.0,1:14.507,1,Término Competitivo
105,1095,815,9,11,9,5.0,5,5,4,24,+11.855,1823162.0,5.0,1:14.699,1,Término Competitivo
106,1095,844,6,16,10,6.0,6,6,3,24,+13.133,1824440.0,4.0,1:15.236,1,Término Competitivo
107,1095,846,1,4,4,7.0,7,7,2,24,+25.624,1836931.0,4.0,1:15.380,1,Término Competitivo
108,1095,825,210,20,1,8.0,8,8,1,24,+28.768,1840075.0,2.0,1:15.110,1,Término Competitivo
109,1095,20,117,5,13,9.0,9,9,0,24,+30.218,1841525.0,4.0,1:15.451,1,Término Competitivo
110,1095,842,213,10,12,10.0,10,10,0,24,+34.170,1845477.0,3.0,1:15.290,1,Término Competitivo
111,1095,817,1,3,14,11.0,11,11,0,24,+39.395,1850702.0,5.0,1:15.385,1,Término Competitivo
112,1095,854,210,47,20,12.0,12,12,0,24,+41.159,1852466.0,5.0,1:15.771,1,Término Competitivo
113,1095,855,51,24,17,13.0,13,13,0,24,+41.763,1853070.0,7.0,1:15.765,1,Término Competitivo
114,1095,822,51,77,18,14.0,14,14,0,24,+42.338,1853645.0,8.0,1:15.980,1,Término Competitivo
115,1095,852,213,22,19,15.0,15,15,0,24,+50.306,1861613.0,4.0,1:16.413,1,Término Competitivo
116,1095,840,117,18,15,16.0,16,16,0,24,+50.700,1862007.0,4.0,1:15.425,1,Término Competitivo
117,1095,839,214,31,6,17.0,17,17,0,24,+51.756,1863063.0,5.0,1:16.097,1,Término Competitivo
118,1095,4,214,14,7,18.0,18,18,0,24,+53.985,1865292.0,5.0,1:14.764,1,Término Competitivo
119,1095,849,3,6,16,19.0,19,19,0,24,+1:16.850,1888157.0,4.0,1:16.525,1,Término Competitivo
120,1095,848,3,23,11,,R,20,0,12,,,4.0,1:15.998,31,Procedimento/Regulamentação
121,1101,815,9,11,2,1.0,1,1,8,17,33:17.667,1997667.0,11.0,1:43.616,1,Término Competitivo
122,1101,844,6,16,1,2.0,2,2,7,17,+4.463,2002130.0,12.0,1:43.646,1,Término Competitivo
123,1101,830,9,1,3,3.0,3,3,6,17,+5.065,2002732.0,10.0,1:43.723,1,Término Competitivo
124,1101,847,131,63,4,4.0,4,4,5,17,+3.467,2001134.0,10.0,1:44.409,1,Término Competitivo
125,1101,832,6,55,5,5.0,5,5,4,17,+10.388,2008055.0,11.0,1:44.398,1,Término Competitivo
126,1101,4,117,14,8,6.0,6,6,3,17,+11.613,2009280.0,12.0,1:44.544,1,Término Competitivo
127,1101,1,131,44,6,7.0,7,7,2,17,+4.890,2002557.0,8.0,1:44.601,1,Término Competitivo
128,1101,840,117,18,9,8.0,8,8,1,17,+18.417,2016084.0,14.0,1:44.855,1,Término Competitivo
129,1101,848,3,23,7,9.0,9,9,0,17,+21.757,2019424.0,10.0,1:44.915,1,Término Competitivo
130,1101,857,1,81,11,10.0,10,10,0,17,+22.851,2020518.0,8.0,1:44.776,1,Término Competitivo
131,1101,825,210,20,13,11.0,11,11,0,17,+27.990,2025657.0,14.0,1:45.349,1,Término Competitivo
132,1101,855,51,24,14,12.0,12,12,0,17,+34.602,2032269.0,16.0,1:45.766,1,Término Competitivo
133,1101,842,214,10,17,13.0,13,13,0,17,+36.918,2034585.0,12.0,1:45.883,1,Término Competitivo
134,1101,856,213,21,18,14.0,14,14,0,17,+41.626,2039293.0,17.0,1:45.768,1,Término Competitivo
135,1101,807,210,27,12,15.0,15,15,0,17,+48.587,2046254.0,8.0,1:45.971,1,Término Competitivo
136,1101,822,51,77,15,16.0,16,16,0,17,+49.917,2047584.0,9.0,1:46.277,1,Término Competitivo
137,1101,846,1,4,10,17.0,17,17,0,17,+51.104,2048771.0,15.0,1:44.484,1,Término Competitivo
138,1101,839,214,31,0,18.0,18,18,0,17,+1:00.621,2058288.0,15.0,1:45.090,1,Término Competitivo
139,1101,852,213,22,16,,R,19,0,2,,,,,130,Incidente de Piloto
140,1101,858,3,2,0,,W,20,0,0,,,,,3,Incidente de Piloto
141,1107,830,9,1,1,1.0,1,1,8,24,30:26.730,1826730.0,19.0,1:14.292,1,Término Competitivo
142,1107,815,9,11,2,2.0,2,2,7,24,+21.048,1847778.0,16.0,1:15.492,1,Término Competitivo
143,1107,832,6,55,5,3.0,3,3,6,24,+23.088,1849818.0,16.0,1:15.457,1,Término Competitivo
144,1107,840,117,18,7,4.0,4,4,5,24,+29.703,1856433.0,23.0,1:15.531,1,Término Competitivo
145,1107,4,117,14,6,5.0,5,5,4,24,+30.109,1856839.0,18.0,1:14.978,1,Término Competitivo
146,1107,807,210,27,4,6.0,6,6,3,24,+31.297,1858027.0,24.0,1:10.180,1,Término Competitivo
147,1107,839,214,31,8,7.0,7,7,2,24,+36.602,1863332.0,22.0,1:15.512,1,Término Competitivo
148,1107,847,131,63,15,8.0,8,8,1,24,+36.611,1863341.0,23.0,1:10.385,1,Término Competitivo
149,1107,846,1,4,3,9.0,9,9,0,24,+38.608,1865338.0,19.0,1:15.627,1,Término Competitivo
150,1107,1,131,44,18,10.0,10,10,0,24,+46.375,1873105.0,24.0,1:10.775,1,Término Competitivo
151,1107,857,1,81,17,11.0,11,11,0,24,+49.807,1876537.0,24.0,1:10.274,1,Término Competitivo
152,1107,844,6,16,9,12.0,12,12,0,24,+50.789,1877519.0,24.0,1:10.686,1,Término Competitivo
153,1107,848,3,23,11,13.0,13,13,0,24,+52.848,1879578.0,24.0,1:11.635,1,Término Competitivo
154,1107,825,210,20,10,14.0,14,14,0,24,+56.593,1883323.0,23.0,1:10.539,1,Término Competitivo
155,1107,842,214,10,12,15.0,15,15,0,24,+57.652,1884382.0,22.0,1:16.109,1,Término Competitivo
156,1107,852,213,22,13,16.0,16,16,0,24,+1:04.822,1891552.0,23.0,1:11.363,1,Término Competitivo
157,1107,856,213,21,14,17.0,17,17,0,24,+1:05.617,1892347.0,22.0,1:11.701,1,Término Competitivo
158,1107,858,3,2,20,18.0,18,18,0,24,+1:06.059,1892789.0,21.0,1:11.829,1,Término Competitivo
159,1107,855,51,24,16,19.0,19,19,0,24,+1:10.825,1897555.0,22.0,1:11.305,1,Término Competitivo
160,1107,822,51,77,0,20.0,20,20,0,24,+1:16.435,1903165.0,22.0,1:16.758,1,Término Competitivo
161,1110,830,9,1,1,1.0,1,1,8,11,24:58.433,1498433.0,6.0,1:58.943,1,Término Competitivo
162,1110,857,1,81,2,2.0,2,2,7,11,+6.677,1505110.0,2.0,2:00.360,1,Término Competitivo
163,1110,842,214,10,6,3.0,3,3,6,11,+10.733,1509166.0,6.0,2:01.857,1,Término Competitivo
164,1110,832,6,55,3,4.0,4,4,5,11,+12.648,1511081.0,7.0,2:01.472,1,Término Competitivo
165,1110,844,6,16,4,5.0,5,5,4,11,+15.016,1513449.0,7.0,2:02.635,1,Término Competitivo
166,1110,846,1,4,5,6.0,6,6,3,11,+16.052,1514485.0,8.0,2:02.085,1,Término Competitivo
167,1110,1,131,44,7,7.0,7,7,2,11,+16.757,1515190.0,7.0,2:00.920,1,Término Competitivo
168,1110,847,131,63,10,8.0,8,8,1,11,+16.822,1515255.0,10.0,2:01.935,1,Término Competitivo
169,1110,839,214,31,9,9.0,9,9,0,11,+22.410,1520843.0,6.0,2:03.061,1,Término Competitivo
170,1110,817,213,3,11,10.0,10,10,0,11,+22.806,1521239.0,8.0,2:02.967,1,Término Competitivo
171,1110,840,117,18,14,11.0,11,11,0,11,+25.007,1523440.0,6.0,2:03.356,1,Término Competitivo
172,1110,848,3,23,12,12.0,12,12,0,11,+26.303,1524736.0,6.0,2:03.674,1,Término Competitivo
173,1110,822,51,77,17,13.0,13,13,0,11,+27.006,1525439.0,6.0,2:03.595,1,Término Competitivo
174,1110,825,210,20,18,14.0,14,14,0,11,+32.986,1531419.0,6.0,2:03.965,1,Término Competitivo
175,1110,855,51,24,19,15.0,15,15,0,11,+36.342,1534775.0,6.0,2:04.760,1,Término Competitivo
176,1110,858,3,2,13,16.0,16,16,0,11,+37.571,1536004.0,6.0,2:03.482,1,Término Competitivo
177,1110,807,210,27,20,17.0,17,17,0,11,+37.827,1536260.0,6.0,2:03.472,1,Término Competitivo
178,1110,852,213,22,16,18.0,18,18,0,11,+39.267,1537700.0,7.0,2:02.080,1,Término Competitivo
179,1110,815,9,11,8,,R,19,0,8,,,2.0,2:02.516,130,Incidente de Piloto
180,1110,4,117,14,15,,R,20,0,2,,,,,3,Incidente de Piloto
